OBEC;OKRSEK;KC1;NAZEVOKRSK;TYPURADU;KODZEME;ZKRZEME;NAZEVZEME;SVETADIL;ADRESA;CASPOSUNLC;NAZEVOKRSA;NAZEVZEMEA
999997;1;5;"Tirana";"vv";8;"AL";"Alb·nie";"EV";"Rruga Skenderbej 10; 1000 Tirana; Albania";0;"Tirana";"Albania"
999997;2;6;"VÌdeÚ";"vv";40;"AT";"Rakousko";"EV";"Penzingerstrasse 11-13; 1140 Wien; Republik ÷sterreich";0;"Vienna";"Austria"
999997;3;0;"Brusel";"vv";56;"BE";"Belgie";"EV";"154, av. Adolphe Buyl; 1050 Bruxelles; Kingdom of Belgium";0;"Brussels";"Belgium"
999997;4;1;"Sarajevo";"vv";70;"BA";"Bosna a Hercegovina";"EV";"FranjevaËka 13; 71000 Sarajevo; Bosna i Hercegovina";0;"Sarajevo";"Bosnia and Herzegovina"
999997;5;2;"Sofie";"vv";100;"BG";"Bulharsko";"EV";"G.S. Rakovski 100; 1000 Sofia; Bulgaria";1;"Sofia";"Bulgaria"
999997;6;3;"Minsk";"vv";112;"BY";"BÏlorusko";"EV";"Nagornaya street 12, 220 088, Minsk,  Respublika Belarus";1;"Minsk";"Belarus"
999997;7;4;"Z·h¯eb";"vv";191;"HR";"Chorvatsko";"EV";"RadniËka cesta 47/VI, 10 000 Zagreb, Chorvatsko";0;"Zagreb";"Croatia"
999997;8;5;"KodaÚ";"vv";208;"DK";"D·nsko";"EV";"Ryvangs AllÈ 14-16; 2100 Kobenhavn 0; Denmark";0;"Copenhagen";"Denmark"
999997;9;6;"Tallinn";"vv";233;"EE";"Estonsko";"EV";"Lahe 4; 10150 Tallinn; Republic of Estonia";1;"Tallinn";"Estonia"
999997;10;0;"Helsinky";"vv";246;"FI";"Finsko";"EV";"Armfeltintie 14; 00150 Helsinki; The Republic of Finland";1;"Helsinki";"Finland"
999997;11;1;"Pa¯Ìû";"vv";250;"FR";"Francie";"EV";"15,  av. Charles Floquet,  75007, Paris,  France";0;"Paris";"France"
999997;12;2;"BerlÌn";"vv";276;"DE";"NÏmecko";"EV";"Wilhelmstrasse 44; 10117 Berlin - Mitte; Bundesrepublik Deutschland";0;"Berlin";"Germany"
999997;13;3;"Dr·ûÔany";"gk";276;"DE";"NÏmecko";"EV";"Erna-Berger-Strasse 1; 01097 Dresden-Neustadt; Bundesrepublik Deutschland";0;"Dresden";"Germany"
999997;14;4;"Mnichov";"gk";276;"DE";"NÏmecko";"EV";"Libellenstr. 1, 809 39 M¸nchen-Freimann; Bundesrepublik Deutschland";0;"Munich";"Germany"
999997;15;5;"D¸sseldorf";"k";276;"DE";"NÏmecko";"EV";"Martin Luther Platz 28, 402 12 D¸sseldorf, Germany";0;"D¸sseldorf";"Germany"
999997;16;6;"AthÈny";"vv";300;"GR";"ÿecko";"EV";"6, G. Seferi str., Palaio Psychico, 154 52 Athens, Greece";1;"Athens";"Greece"
999997;17;0;"Vatik·n";"vv";336;"VA";"Svat˝ stolec";"EV";"Via Crescenzio, 91 - sc. B, int. 1, 00193 Roma; Republic of Italy";0;"Vatican City";"Holy See (Vatican C.S.)"
999997;18;1;"Budapeöù";"vv";348;"HU";"MaÔarsko";"EV";"RÛzsa ˙tca 61; 1064 Budapest VI; Hungaria";0;"Budapest";"Hungary"
999997;19;2;"Dublin";"vv";372;"IE";"Irsko";"EV";"57 Northumberland Road; Ballsbridge; Dublin 4; D04 PF51; Ireland";-1;"Dublin";"Ireland"
999997;20;3;"ÿÌm";"vv";380;"IT";"It·lie";"EV";"Via dei Gracchi 322; 00192 Roma; Italia";0;"Rome";"Italy"
999997;21;4;"Riga";"vv";428;"LV";"Lotyösko";"EV";"Elizabetes iela 29a; LV-1010 Riga; Latvija";1;"Riga";"Latvia"
999997;22;5;"Vilnius";"vv";440;"LT";"Litva";"EV";"16 BirutÈs g., LT 08117 Vilnius; Lietuva";1;"Vilnius";"Lithuania"
999997;23;6;"Lucemburk";"vv";442;"LU";"Lucembursko";"EV";"Ambasade de la Republique TchÈque, 2, rond-point, Robert Schuman L-2525, Luxembourg, Grand-DuchÈ de Luxembourg";0;"Luxembourg";"Luxembourg"
999997;24;0;"Haag";"vv";528;"NL";"Nizozemsko";"EV";"Paleisstraat 4, 2514 JA Den Haag, Nizozemsko";0;"The Hague";"Netherlands"
999997;25;1;"Oslo";"vv";578;"NO";"Norsko";"EV";"Fritzners gate 14; 0264 Oslo; The Kingdom of Norway";0;"Oslo";"Norway"
999997;26;2;"Varöava";"vv";616;"PL";"Polsko";"EV";"Koszykowa 18, 00-555 Warszawa; Polska";0;"Warsaw";"Poland"
999997;27;3;"Lisabon";"vv";620;"PT";"Portugalsko";"EV";"Rua Pero de Alenquer, 14; 1400-294 Lisboa; Portugal";-1;"Lisbon";"Portugal"
999997;28;4;"Bukureöù";"vv";642;"RO";"Rumunsko";"EV";"Str. Ion Ghica nr. 11; 030045 Bucuresti; Romania";1;"Bucharest";"Romania"
999997;29;5;"Moskva";"vv";643;"RU";"Rusko";"EV";"ul. J. FuËika 12/14; 123056 Moskva; Rossijskaja Federacija";1;"Moscow";"Russian Federation"
999997;30;6;"Sankt Peterburg";"gk";643;"RU";"Rusko";"EV";"ul. TvÏrskaja 5; 191 015 Sankt Peterburg, Rossijskaja Federacija";1;"St. Peterburg";"Russian Federation"
999997;31;0;"JekatÏrinburg";"gk";643;"RU";"Rusko";"EV";"ul. Gogola 15, 620 075 Jekaterinburg, Rossijskaja Federacija";3;"Yekaterinburg";"Russian Federation"
999997;32;1;"Bratislava";"vv";703;"SK";"Slovensko";"EV";"Hviezdoslavovo n·m. 8,  810 00 Bratislava";0;"Bratislava";"Slovakia"
999997;33;2;"LublaÚ";"vv";705;"SI";"Slovinsko";"EV";"Riharjeva 1; 1000 Ljubljana; Republika Slovenija";0;"Ljubljana";"Slovenia"
999997;34;3;"Madrid";"vv";724;"ES";"äpanÏlsko";"EV";"Avda, PÌo XII, 22-24; 28016 Madrid; EspaÚa";0;"Madrid";"Spain"
999997;35;4;"Stockholm";"vv";752;"SE";"ävÈdsko";"EV";"Villagatan 21, 11432 Stockholm; Sweden";0;"Stockholm";"Sweden"
